
ALLOC_MEMORY alloc_memory
UnInitFrameBsBuffer un_init_frame_bs_buffer
UnInitLayerSliceBuffer un_init_layer_slice_buffer
UnInitParam un_init_param
UnInitParamForTestCase un_init_param_for_test_case
Uninit uninit
Uninitialize uninitialize
UpdateHashFromFrame update_hash_from_frame
UpdateHashFromPlane update_hash_from_plane
VAACalcSadBgd_ref vaa_calc_sad_bgd_ref
VAACalcSadSsdBgd_ref vaa_calc_sad_ssd_bgd_ref
VAACalcSadSsd_ref vaa_calc_sad_ssd_ref
VAACalcSadVar_ref vaa_calc_sad_var_ref
VAACalcSad_ref vaa_calc_sad_ref
VALID_SIZE valid_size
ValidInit valid_init
ValidateParamExtCombination validate_param_ext_combination
WELSVP_INTERFACE_VERION welsvp_interface_verion
WELSVP_MAJOR_VERSION    welsvp_major_version   
WELSVP_MINOR_VERSION    welsvp_minor_version   
WELSVP_VERSION          welsvp_version         
WELS_ABS_LC wels_abs_lc
WELS_NEW_QUANT wels_new_quant
WRAP_CHROMA_FUNC wrap_chroma_func
WRAP_LUMA_FUNC wrap_luma_func
WaverageDenoiseChroma waverage_denoise_chroma
WelsCreateVpInterface wels_create_vp_interface
WelsDequantHadamard2x2DcAnchor wels_dequant_hadamard2x_2dc_anchor
WelsDestroyVpInterface wels_destroy_vp_interface
WelsHadamardQuant2x2Anchor wels_hadamard_quant2x_2anchor
WelsHadamardQuant2x2SkipAnchor wels_hadamard_quant2x_2skip_anchor
WelsHadamardT4DcAnchor wels_hadamard_t4dc_anchor
WelsIDctRecI16x16DcAnchor wels_idct_rec_i16x_16dc_anchor
WelsIDctRecI16x4DcAnchor wels_idct_rec_i16x_4dc_anchor
WelsIDctT4Anchor wels_idct_t4anchor
WelsIDctT8Anchor wels_idct_t8anchor
WelsQuant4x4DcAnchor wels_quant4x_4dc_anchor
WelsQuant4x4MaxAnchor wels_quant4x_4max_anchor
WelsQuantFour4x4Anchor wels_quant_four4x_4anchor
WelsQuantFour4x4MaxAnchor wels_quant_four4x_4max_anchor
YUVPixelDataGenerator yuv_pixel_data_generator
aApiName a_api_name
aCodecSpecific a_codec_specific
aCodecSpecificInfo a_codec_specific_info
aCodecSpecificInfoLength a_codec_specific_info_length
aCodecSpecificSize a_codec_specific_size
aEnable a_enable
aFrameRate a_frame_rate
aFrameTypes a_frame_types
aFrameTypesLength a_frame_types_length
aHostAPI a_hostapi
aMutex a_mutex
aNewBitRate a_new_bit_rate
aPacketLoss a_packet_loss
aPlatformAPI a_platformapi
aPluginApi a_plugin_api
aPtr a_ptr
aRTT artt
aTask a_task
aVal a_val
aValue a_value
allNonZero all_non_zero
allZero all_zero
bAllRandom all_random
bCabac cabac
bDenoise denoise
bEnableLtr enable_ltr
bIDR bidr
bLossPara loss_para
bLossless lossless
bLostPara lost_para
bMaskInfoAvailable mask_info_available
bMock mock
bScrollDetectFlag scroll_detect_flag
bScrollFlag scroll_flag
bTestDecoder test_decoder
bTestNalSize test_nal_size
bVCLLoss vcl_loss
cTestList test_list
callback_ callback
capacity_ capacity
codecSettings codec_settings
copy copy_
copyWithStartCode copy_with_start_code
coreCount core_count
dState d_state
data_ data
decodeStatus decode_status
decoder_ decoder
dstBufInfo dst_buf_info
eDecCase dec_case
eFormat format
eMethod method
eNalType nal_type
eNalUnitType nal_unit_type
eOptionId option_id
eProperty property
eReturn return
eSceneChangeIdc scene_change_idc
eSliceMode slice_mode
eUsageType usage_type
encToDecData enc_to_dec_data
encToDecSliceData enc_to_dec_slice_data
encoder_ encoder
endIdx end_idx
fFrameRate frame_rate
fFramerate framerate
fYuv yuv
fileName file_name
frameInfo frame_info
frameRate frame_rate
frames_in_ frames_in
frames_out_ frames_out
g_kdLog2Factor g_kd_log_2factor
hashStr hash_str
hostAPI hostapi
host_ host
iAdaptiveQuantMode adaptive_quant_mode
iAverMotionTextureIndexToDeltaQp aver_motion_texture_index_to_delta_qp
iBlock8x8Height block8x_8height
iBlock8x8Width block8x_8width
iCalcBgd calc_bgd
iCalcSsd calc_ssd
iCalcVar calc_var
iCallTimes call_times
iCheckTypeIndex check_type_index
iColorFormat color_format
iComplexityAnalysisMode complexity_analysis_mode
iCpuFlag cpu_flag
iCurStride cur_stride
iDStride dstride
iDct dct
iDiff diff
iDstLen dst_len
iDstStride dst_stride
iEncFrameNum enc_frame_num
iFF iff
iFrame frame
iFrameComplexity frame_complexity
iFrameSad frame_sad
iGomNumInFrame gom_num_in_frame
iHeight height
iIdrFlag idr_flag
iLastIndex last_index
iLayerId layer_id
iLayerIdx layer_idx
iLayerNum layer_num
iLayers layers
iLinesize linesize
iLossIdx loss_idx
iMF imf
iMbHeight mb_height
iMbNumInGom mb_num_in_gom
iMbRowInGom mb_row_in_gom
iMbWidth mb_width
iMotionBlockNum motion_block_num
iMvX mvx
iMvY mvy
iNumframes numframes
iPacketLength packet_length
iPartNum part_num
iPartitionNum partition_num
iPicHeight pic_height
iPicStride pic_stride
iPicWidth pic_width
iQp qp
iRandValue rand_value
iRectHeight rect_height
iRectLeft rect_left
iRectTop rect_top
iRectWidth rect_width
iRefStride ref_stride
iRefStrideY ref_stridey
iReserved reserved
iSStride sstride
iSaveFileIdx save_file_idx
iScrollMvX scroll_mvx
iScrollMvY scroll_mvy
iSize size
